CustomerID,Genre,Age,Annual Income (k$),Spending Score (1-100),Annual Income,Age Group,Age Normalized,Annual Income (k$) Normalized,Spending Score (1-100) Normalized
51,Female,49,42,52,42000,46-60,0.5961538461538463,0.22131147540983603,0.520408163265306
52,Male,33,42,60,42000,31-45,0.28846153846153855,0.22131147540983603,0.6020408163265305
53,Female,31,43,54,43000,31-45,0.25,0.22950819672131145,0.5408163265306122
54,Male,59,43,60,43000,46-60,0.7884615384615384,0.22950819672131145,0.6020408163265305
55,Female,50,43,45,43000,46-60,0.6153846153846154,0.22950819672131145,0.44897959183673464
56,Male,47,43,41,43000,46-60,0.5576923076923077,0.22950819672131145,0.4081632653061224
57,Female,51,44,50,44000,46-60,0.6346153846153847,0.23770491803278687,0.5
58,Male,69,44,46,44000,60+,0.980769230769231,0.23770491803278687,0.4591836734693877
59,Female,27,46,51,46000,18-30,0.17307692307692313,0.2540983606557377,0.510204081632653
60,Male,53,46,46,46000,46-60,0.6730769230769232,0.2540983606557377,0.4591836734693877
61,Male,70,46,56,46000,60+,1.0,0.2540983606557377,0.5612244897959183
62,Male,19,46,55,46000,18-30,0.019230769230769273,0.2540983606557377,0.5510204081632653
63,Female,67,47,52,47000,60+,0.9423076923076924,0.26229508196721313,0.520408163265306
64,Female,54,47,59,47000,46-60,0.6923076923076924,0.26229508196721313,0.5918367346938775
65,Male,63,48,51,48000,60+,0.8653846153846155,0.2704918032786885,0.510204081632653
66,Male,18,48,59,48000,Under 18,0.0,0.2704918032786885,0.5918367346938775
67,Female,43,48,50,48000,31-45,0.48076923076923084,0.2704918032786885,0.5
68,Female,68,48,48,48000,60+,0.9615384615384616,0.2704918032786885,0.47959183673469385
69,Male,19,48,59,48000,18-30,0.019230769230769273,0.2704918032786885,0.5918367346938775
70,Female,32,48,47,48000,31-45,0.2692307692307693,0.2704918032786885,0.4693877551020408
71,Male,70,49,55,49000,60+,1.0,0.2786885245901639,0.5510204081632653
72,Female,47,49,42,49000,46-60,0.5576923076923077,0.2786885245901639,0.4183673469387755
73,Female,60,50,49,50000,46-60,0.8076923076923078,0.28688524590163933,0.48979591836734687
74,Female,60,50,56,50000,46-60,0.8076923076923078,0.28688524590163933,0.5612244897959183
75,Male,59,54,47,54000,46-60,0.7884615384615384,0.319672131147541,0.4693877551020408
76,Male,26,54,54,54000,18-30,0.15384615384615385,0.319672131147541,0.5408163265306122
77,Female,45,54,53,54000,31-45,0.5192307692307693,0.319672131147541,0.5306122448979591
78,Male,40,54,48,54000,31-45,0.42307692307692313,0.319672131147541,0.47959183673469385
79,Female,23,54,52,54000,18-30,0.0961538461538462,0.319672131147541,0.520408163265306
80,Female,49,54,42,54000,46-60,0.5961538461538463,0.319672131147541,0.4183673469387755
81,Male,57,54,51,54000,46-60,0.7500000000000001,0.319672131147541,0.510204081632653
82,Male,38,54,55,54000,31-45,0.3846153846153847,0.319672131147541,0.5510204081632653
83,Male,67,54,41,54000,60+,0.9423076923076924,0.319672131147541,0.4081632653061224
84,Female,46,54,44,54000,46-60,0.5384615384615385,0.319672131147541,0.43877551020408156
85,Female,21,54,57,54000,18-30,0.05769230769230771,0.319672131147541,0.5714285714285714
86,Male,48,54,46,54000,46-60,0.576923076923077,0.319672131147541,0.4591836734693877
87,Female,55,57,58,57000,46-60,0.7115384615384616,0.3442622950819672,0.5816326530612245
88,Female,22,57,55,57000,18-30,0.07692307692307698,0.3442622950819672,0.5510204081632653
89,Female,34,58,60,58000,31-45,0.3076923076923077,0.3524590163934426,0.6020408163265305
90,Female,50,58,46,58000,46-60,0.6153846153846154,0.3524590163934426,0.4591836734693877
91,Female,68,59,55,59000,60+,0.9615384615384616,0.36065573770491804,0.5510204081632653
92,Male,18,59,41,59000,Under 18,0.0,0.36065573770491804,0.4081632653061224
93,Male,48,60,49,60000,46-60,0.576923076923077,0.36885245901639346,0.48979591836734687
94,Female,40,60,40,60000,31-45,0.42307692307692313,0.36885245901639346,0.39795918367346933
95,Female,32,60,42,60000,31-45,0.2692307692307693,0.36885245901639346,0.4183673469387755
96,Male,24,60,52,60000,18-30,0.11538461538461542,0.36885245901639346,0.520408163265306
97,Female,47,60,47,60000,46-60,0.5576923076923077,0.36885245901639346,0.4693877551020408
98,Female,27,60,50,60000,18-30,0.17307692307692313,0.36885245901639346,0.5
99,Male,48,61,42,61000,46-60,0.576923076923077,0.3770491803278688,0.4183673469387755
100,Male,20,61,49,61000,18-30,0.03846153846153849,0.3770491803278688,0.48979591836734687
101,Female,23,62,41,62000,18-30,0.0961538461538462,0.38524590163934425,0.4081632653061224
102,Female,49,62,48,62000,46-60,0.5961538461538463,0.38524590163934425,0.47959183673469385
103,Male,67,62,59,62000,60+,0.9423076923076924,0.38524590163934425,0.5918367346938775
104,Male,26,62,55,62000,18-30,0.15384615384615385,0.38524590163934425,0.5510204081632653
105,Male,49,62,56,62000,46-60,0.5961538461538463,0.38524590163934425,0.5612244897959183
106,Female,21,62,42,62000,18-30,0.05769230769230771,0.38524590163934425,0.4183673469387755
107,Female,66,63,50,63000,60+,0.9230769230769232,0.39344262295081966,0.5
108,Male,54,63,46,63000,46-60,0.6923076923076924,0.39344262295081966,0.4591836734693877
109,Male,68,63,43,63000,60+,0.9615384615384616,0.39344262295081966,0.42857142857142855
110,Male,66,63,48,63000,60+,0.9230769230769232,0.39344262295081966,0.47959183673469385
111,Male,65,63,52,63000,60+,0.9038461538461539,0.39344262295081966,0.520408163265306
112,Female,19,63,54,63000,18-30,0.019230769230769273,0.39344262295081966,0.5408163265306122
113,Female,38,64,42,64000,31-45,0.3846153846153847,0.4016393442622951,0.4183673469387755
114,Male,19,64,46,64000,18-30,0.019230769230769273,0.4016393442622951,0.4591836734693877
115,Female,18,65,48,65000,Under 18,0.0,0.4098360655737705,0.47959183673469385
116,Female,19,65,50,65000,18-30,0.019230769230769273,0.4098360655737705,0.5
117,Female,63,65,43,65000,60+,0.8653846153846155,0.4098360655737705,0.42857142857142855
118,Female,49,65,59,65000,46-60,0.5961538461538463,0.4098360655737705,0.5918367346938775
119,Female,51,67,43,67000,46-60,0.6346153846153847,0.42622950819672134,0.42857142857142855
120,Female,50,67,57,67000,46-60,0.6153846153846154,0.42622950819672134,0.5714285714285714
121,Male,27,67,56,67000,18-30,0.17307692307692313,0.42622950819672134,0.5612244897959183
122,Female,38,67,40,67000,31-45,0.3846153846153847,0.42622950819672134,0.39795918367346933
123,Female,40,69,58,69000,31-45,0.42307692307692313,0.4426229508196722,0.5816326530612245
124,Male,39,69,91,69000,31-45,0.40384615384615385,0.4426229508196722,0.9183673469387754
125,Female,23,70,29,70000,18-30,0.0961538461538462,0.4508196721311476,0.2857142857142857
126,Female,31,70,77,70000,31-45,0.25,0.4508196721311476,0.7755102040816326
127,Male,43,71,35,71000,31-45,0.48076923076923084,0.4590163934426229,0.346938775510204
128,Male,40,71,95,71000,31-45,0.42307692307692313,0.4590163934426229,0.9591836734693877
129,Male,59,71,11,71000,46-60,0.7884615384615384,0.4590163934426229,0.1020408163265306
130,Male,38,71,75,71000,31-45,0.3846153846153847,0.4590163934426229,0.7551020408163265
131,Male,47,71,9,71000,46-60,0.5576923076923077,0.4590163934426229,0.08163265306122448
132,Male,39,71,75,71000,31-45,0.40384615384615385,0.4590163934426229,0.7551020408163265
133,Female,25,72,34,72000,18-30,0.13461538461538464,0.4672131147540983,0.336734693877551
134,Female,31,72,71,72000,31-45,0.25,0.4672131147540983,0.7142857142857142
135,Male,20,73,5,73000,18-30,0.03846153846153849,0.47540983606557374,0.04081632653061224
136,Female,29,73,88,73000,18-30,0.21153846153846156,0.47540983606557374,0.8877551020408162
137,Female,44,73,7,73000,31-45,0.5000000000000001,0.47540983606557374,0.061224489795918366
138,Male,32,73,73,73000,31-45,0.2692307692307693,0.47540983606557374,0.7346938775510203
139,Male,19,74,10,74000,18-30,0.019230769230769273,0.48360655737704916,0.09183673469387754
140,Female,35,74,72,74000,31-45,0.326923076923077,0.48360655737704916,0.7244897959183673
141,Female,57,75,5,75000,46-60,0.7500000000000001,0.4918032786885246,0.04081632653061224
142,Male,32,75,93,75000,31-45,0.2692307692307693,0.4918032786885246,0.9387755102040816
143,Female,28,76,40,76000,18-30,0.1923076923076924,0.5,0.39795918367346933
144,Female,32,76,87,76000,31-45,0.2692307692307693,0.5,0.8775510204081631
145,Male,25,77,12,77000,18-30,0.13461538461538464,0.5081967213114754,0.11224489795918367
146,Male,28,77,97,77000,18-30,0.1923076923076924,0.5081967213114754,0.9795918367346937
147,Male,48,77,36,77000,46-60,0.576923076923077,0.5081967213114754,0.3571428571428571
148,Female,32,77,74,77000,31-45,0.2692307692307693,0.5081967213114754,0.7448979591836734
149,Female,34,78,22,78000,31-45,0.3076923076923077,0.5163934426229508,0.21428571428571425
150,Male,34,78,90,78000,31-45,0.3076923076923077,0.5163934426229508,0.9081632653061223
151,Male,43,78,17,78000,31-45,0.48076923076923084,0.5163934426229508,0.16326530612244897
152,Male,39,78,88,78000,31-45,0.40384615384615385,0.5163934426229508,0.8877551020408162
153,Female,44,78,20,78000,31-45,0.5000000000000001,0.5163934426229508,0.19387755102040813
154,Female,38,78,76,78000,31-45,0.3846153846153847,0.5163934426229508,0.7653061224489796
155,Female,47,78,16,78000,46-60,0.5576923076923077,0.5163934426229508,0.1530612244897959
156,Female,27,78,89,78000,18-30,0.17307692307692313,0.5163934426229508,0.8979591836734693
157,Male,37,78,1,78000,31-45,0.3653846153846154,0.5163934426229508,0.0
158,Female,30,78,78,78000,18-30,0.23076923076923084,0.5163934426229508,0.7857142857142856
159,Male,34,78,1,78000,31-45,0.3076923076923077,0.5163934426229508,0.0
160,Female,30,78,73,78000,18-30,0.23076923076923084,0.5163934426229508,0.7346938775510203
161,Female,56,79,35,79000,46-60,0.730769230769231,0.5245901639344263,0.346938775510204
162,Female,29,79,83,79000,18-30,0.21153846153846156,0.5245901639344263,0.836734693877551
163,Male,19,81,5,81000,18-30,0.019230769230769273,0.5409836065573771,0.04081632653061224
164,Female,31,81,93,81000,31-45,0.25,0.5409836065573771,0.9387755102040816
165,Male,50,85,26,85000,46-60,0.6153846153846154,0.5737704918032787,0.2551020408163265
166,Female,36,85,75,85000,31-45,0.34615384615384615,0.5737704918032787,0.7551020408163265
167,Male,42,86,20,86000,31-45,0.46153846153846156,0.5819672131147541,0.19387755102040813
168,Female,33,86,95,86000,31-45,0.28846153846153855,0.5819672131147541,0.9591836734693877
169,Female,36,87,27,87000,31-45,0.34615384615384615,0.5901639344262295,0.26530612244897955
170,Male,32,87,63,87000,31-45,0.2692307692307693,0.5901639344262295,0.6326530612244897
171,Male,40,87,13,87000,31-45,0.42307692307692313,0.5901639344262295,0.12244897959183672
172,Male,28,87,75,87000,18-30,0.1923076923076924,0.5901639344262295,0.7551020408163265
173,Male,36,87,10,87000,31-45,0.34615384615384615,0.5901639344262295,0.09183673469387754
174,Male,36,87,92,87000,31-45,0.34615384615384615,0.5901639344262295,0.9285714285714285
175,Female,52,88,13,88000,46-60,0.6538461538461539,0.5983606557377049,0.12244897959183672
176,Female,30,88,86,88000,18-30,0.23076923076923084,0.5983606557377049,0.8673469387755102
177,Male,58,88,15,88000,46-60,0.7692307692307693,0.5983606557377049,0.14285714285714282
178,Male,27,88,69,88000,18-30,0.17307692307692313,0.5983606557377049,0.693877551020408
179,Male,59,93,14,93000,46-60,0.7884615384615384,0.639344262295082,0.13265306122448978
180,Male,35,93,90,93000,31-45,0.326923076923077,0.639344262295082,0.9081632653061223
181,Female,37,97,32,97000,31-45,0.3653846153846154,0.6721311475409836,0.31632653061224486
182,Female,32,97,86,97000,31-45,0.2692307692307693,0.6721311475409836,0.8673469387755102
183,Male,46,98,15,98000,46-60,0.5384615384615385,0.680327868852459,0.14285714285714282
184,Female,29,98,88,98000,18-30,0.21153846153846156,0.680327868852459,0.8877551020408162
185,Female,41,99,39,99000,31-45,0.4423076923076924,0.6885245901639344,0.38775510204081626
186,Male,30,99,97,99000,18-30,0.23076923076923084,0.6885245901639344,0.9795918367346937
187,Female,54,101,24,101000,46-60,0.6923076923076924,0.7049180327868853,0.2346938775510204
188,Male,28,101,68,101000,18-30,0.1923076923076924,0.7049180327868853,0.6836734693877551
189,Female,41,103,17,103000,31-45,0.4423076923076924,0.7213114754098361,0.16326530612244897
190,Female,36,103,85,103000,31-45,0.34615384615384615,0.7213114754098361,0.8571428571428571
191,Female,34,103,23,103000,31-45,0.3076923076923077,0.7213114754098361,0.22448979591836732
192,Female,32,103,69,103000,31-45,0.2692307692307693,0.7213114754098361,0.693877551020408
193,Male,33,113,8,113000,31-45,0.28846153846153855,0.8032786885245902,0.07142857142857142
194,Female,38,113,91,113000,31-45,0.3846153846153847,0.8032786885245902,0.9183673469387754
195,Female,47,120,16,120000,46-60,0.5576923076923077,0.8606557377049181,0.1530612244897959
196,Female,35,120,79,120000,31-45,0.326923076923077,0.8606557377049181,0.7959183673469387
197,Female,45,126,28,126000,31-45,0.5192307692307693,0.9098360655737705,0.2755102040816326
198,Male,32,126,74,126000,31-45,0.2692307692307693,0.9098360655737705,0.7448979591836734
199,Male,32,137,18,137000,31-45,0.2692307692307693,1.0,0.173469387755102
200,Male,30,137,83,137000,18-30,0.23076923076923084,1.0,0.836734693877551
